"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,"Reactions, comments and shares",Reactions,Comments,Shares,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,01/29/2026,0,0,0,0,0,0,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,01/30/2026,0,0,0,0,0,0,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,01/31/2026,12,12,0,0,5854.323,5.135,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,02/01/2026,6,6,0,0,2425.301,5.249,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,02/02/2026,2,2,0,0,1606.784,5.41,0,0,0
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,02/03/2026,1,1,0,0,1053.817,5.987,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,01/29/2026,0,0,0,0,0,0,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,01/30/2026,2,2,0,0,568.295,2.46,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,01/31/2026,5,4,1,0,2642.008,2.378,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,02/01/2026,1,1,0,0,692.723,2.192,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,02/02/2026,1,1,0,0,409.718,2.179,0,0,0
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,02/03/2026,0,0,0,0,224.008,2.434,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,01/29/2026,0,0,0,0,0,0,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,01/30/2026,6,6,0,0,4123.17,2.187,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,01/31/2026,4,4,0,0,1145.614,2.02,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,02/01/2026,0,0,0,0,512.342,2.117,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,02/02/2026,1,1,0,0,357.793,2.278,0,0,0
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,02/03/2026,1,1,0,0,284.635,3.198,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,01/29/2026,17,9,8,0,5247.548,5.942,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,01/30/2026,1,1,0,0,2523.825,4.396,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,01/31/2026,1,1,0,0,1416.697,4.599,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,02/01/2026,0,0,0,0,723.126,3.951,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,02/02/2026,1,1,0,0,566.313,5.148,0,0,0
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,02/03/2026,0,0,0,0,259.641,3.416,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,01/28/2026,5,1,4,0,1538.893,1.955,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,01/29/2026,5,2,3,0,1079.364,1.652,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,01/30/2026,1,1,0,0,632.181,1.576,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,01/31/2026,0,0,0,0,392.951,1.964,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,02/01/2026,0,0,0,0,192.171,1.434,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,02/02/2026,0,0,0,0,155.558,1.587,0,0,0
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,02/03/2026,1,1,0,0,185.619,2.812,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,01/28/2026,7,7,0,0,1719.706,1.644,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,01/29/2026,3,3,0,0,881.477,1.855,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,01/30/2026,1,1,0,0,440.308,1.857,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,01/31/2026,0,0,0,0,279.398,2.01,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,02/01/2026,0,0,0,0,254.599,2.379,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,02/02/2026,1,1,0,0,131.881,1.69,0,0,0
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,02/03/2026,0,0,0,0,111.636,1.83,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,01/28/2026,12,10,2,0,4353.31,4.28,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,01/29/2026,2,2,0,0,1334.552,3.936,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,01/30/2026,1,1,0,0,1043.719,4.441,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,01/31/2026,1,1,0,0,423.929,3.26,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,02/01/2026,0,0,0,0,218.951,2.843,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,02/02/2026,0,0,0,0,282.051,3.917,0,0,0
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,02/03/2026,1,1,0,0,238.44,4.335,0,0,0
